n , tamanho , pares especiais , SimpleRMQBucket , SimpleRMQSt , PS
1 , 191672 , 1382715 , 6.68222 , 32.8353 , 366.433
2 , 195708 , 1304713 , 6.71318 , 34.2108 , 335.87
3 , 142941 , 707947 , 4.71859 , 24.1688 , 189.011
4 , 137257 , 968732 ,  4.56822 ,  23.5573 , 259.596
5 , 179443 , 846592 ,  5.97544 , 31.1162 , 221.641
6 , 177631 , 906852 , 5.96721 , 30.6239 , 240.24
7 ,  191672 , 842686 ,  6.46137 , 33.0785 , 226.564
8 , 195708 ,  925384 ,  6.60846 ,  34.0023 , 238.946
9 , 142941 , 473063 ,  4.83218 , 24.2484 ,  123.798
10 ,  137257 ,  545799 ,  4.73003 , 23.1419 , 139.36
11 ,  179443 ,  792811 ,  6.13915 ,  30.9384 ,  208.622
12 ,  177631 , 710068 , 5.9756 , 30.7276 , 182.247

